Review,Rating,One-word Review,Product ID
"I used poco x3 pro
The phone was good but duemotherboard issue phone was dead

I shifted from. Poco to realme
Bt now again buying the poco
Let's see if it worth again or not
Btw
The phone is good
No overheating
Battery is ok
Performance is beast
I am not camera person so I must say it's on you",5,Terrific purchase,MOBGWMGBEVDXXEZC
"Fastest phone in this price segment, performance close to SD 8 gen 2
Easily last 4 years minimum.
Latest UFS storage 4.0
Latest Bluetooth 5.4
Latest LPDDR 5X RAM
Latest wifi 6
Latest Android 14 with 3 more OS update
Flagship level 12 bit Amoled Display.
Efficient 4nm chip give an efficient 5000mah battery backup.

Don't know why there are mixed reviews on this mobile. Apart from more than an average camera,no headphones jack and no FM, all of them are not a deal breaker if you see the positiv...
READ MORE",5,Classy product,MOBGWMGBEVDXXEZC
Best product in this range but no leather back on grey colour phone.it is only available in yellow colour. So purchase as per ur choice,4,Value-for-money,MOBGWMGBEVDXXEZC
"Mobile Phone is good performance Excellent
25 days review rating
1 sound 9/10
2 camera 8/10
3battery 8.5/10
4 performance 10/10
5 display 10/10
Heat 🔥9.5/10",4,Very Good,MOBGWMGBEVDXXEZC
This phone is superb for normal user's!,5,Classy product,MOBGWMGBEVDXXEZC
"I am using this phone for 1 day and I 'll update if there is any change of experience in the meantime.
Display- One of the best display not only in the price range but it can compete with the high end phone also. 5/5.
Battery- battery is last long. In the night time with AOD on, the reduction of charge is 1% only. So, 5/5.
Camera- Camera is generally a weak part of POCO. But, it exceeds my expectations. Fairly a decent camera, in most of the cases, it can produce social media ready photogra...
READ MORE",5,Highly recommended,MOBGWMGBEVDXXEZC
"Awesome phone in this price range, if you are looking for an all-rounder not considering the camera as a main priority then you can absolutely go for this.",4,Good choice,MOBGWMGBEVDXXEZC
Very smooth phone📱,5,Fabulous!,MOBGWMGBEVDXXEZC
"I don't know why people are crying and whining. This phn is really a flagship killer and the phn itself a flagship. I have been using Xiaomi since 2017 , I have started using Redmi note 4, Note 7, Mi A1,Redmi note 8 pro , Redmi note 10 pro, Redmi 11 prime and then this Poco X6 pro. Previously in 2020 I was about to purchase Poco X3 but someone suggested Redmi note 8 pro. I would say best decision I took. Previously Poco X series had motherboard issues but not the case with Poco X5 or X6 serie...
READ MORE",5,Perfect product!,MOBGWMGBEVDXXEZC
"At the beginning the battery was draining too fast. But after charging it for 2-3 times the battery backup has increased. I gess it takes some time for the processor to adapt the device😅. Right now my rating for this device out of 10 would be:-

#CAMERA-08/10 (works fine in day light. Struggls in low light)
#DISPLAY-10/10 (the colours are superb)
#SOUND-9/10 (the dolby atmos dose its job pretty well)
#BATTERY BACKUP-9/10 ( dropped 30% only after playing 5 erangle match in bgmi at 90fps.) ...
READ MORE",5,Mind-blowing purchase,MOBGWMGBEVDXXEZC
"The Poco X6 Pro impresses with its sleek design and vibrant display. The powerful processor ensures smooth performance, handling multitasking effortlessly. The camera system captures detailed shots, though low-light performance could be improved. The ample battery life keeps you going throughout the day. Overall, a solid mid-range device with excellent value for money.",4,Very Good,MOBGWMGBEVDXXEZC
"I received my Poco X6 Pro on January 18 and was unsure about my decision to purchase it because it was recently released and Poco has a history of motherboard issues. However, after using this phone for quite some time, I can tell that it fulfilled my expectations.

Pros:
1. The display is stunning and enjoyable to look at.
2. The strong CPU ensures smooth performance.
3. A 67W charger is provided in the package, which charges the phone in around 45 minutes.
4. HyperOS is visually appealing, ...
READ MORE",3,Just okay,MOBGWMGBEVDXXEZC
"Battery is very poor
Heating issue
Best performance at this price range
Camera is ok ok
Display is awesome",4,Value-for-money,MOBGWMGBEVDXXEZC
"It's a performance-oriented mobile. There few things to be noted.
1. At first I noticed a battery drain for two days, then I optimized my phone by setting dark mode, turning off unnecessary notifications, uninstalling unnecessary apps, disabling the background functioning of some apps, etc.
2. At the start I noticed a heating issue, By optimization you can reduce it, you should let it cool after charging the mobile if you feel heating, during camera usage on setting high quality I felt some h...
READ MORE",5,Just wow!,MOBGWMGBEVDXXEZC
This phone is power packed. Little bit improvement needed in built and design. The camera is above average. At this Price point it is good.,4,Value-for-money,MOBGWMGBEVDXXEZC
"Awesome phone, value for money",5,Great product,MOBGWMGBEVDXXEZC
"display and sound are great but bettery backup is low ,i had charged twice a day for moderate use ,im not a gamer...and there is slight heating issue face on moderate use in winter season then how it feel in summer season???",3,good product but poor bettery life....disappointed....,MOBGWMGBEVDXXEZC
Very good phone but not for everyone..1.it's dedicated to some people..who want some performance and fast storage and ram...2.camera is well.i suggest to use gcam and see the magic...it's very good..3.screen is top notch with Dolby vision and HDR 10 plus...4.speakers are loud and crisp..with Dolby Atmos very nice ...5.battery department need some updates as I had to charge it 2 times a day normally..but it charges quickly so no problem is there...at this price...get this,4,Good choice,MOBGWMGBEVDXXEZC
"X6 pro is awesome, here are some of its pros and cons:
Pros:
1.Performance wise its a beast really impressed, (5/5 performance)best gaming phone in this range, no issues in cod ,bgmi, genshin impact, combat master etc.
2.The storage type UFS 4.1 makes it lighting fast
3.Camera is average, but good details in 64mp
4. If your area has 5g coverage, it will give stable network without issues,
Cons:
1.battery drain problem which gives less battery life which can be fixed by further os updates ig...
READ MORE",4,Wonderful,MOBGWMGBEVDXXEZC
"When i bought it i was little bit worried about it's battery life for first 2 -3 days.Then after a software update battery life has actually increased and now this is the best gaming smartphone at this price range.

Before software update:-

Camera - 3.5/5
Battery - 3.5/5
Display - 5/5
Performance -5/5

After Software update:-

Camera - 3.5/5
Battery - 4/5
Display - 5/5
Performance - 5/5",4,Wonderful,MOBGWMGBEVDXXEZC
"Shifting from Pixel 6 to this, the first thing i noticed is speed and batter which is way way better. I never experienced any phone this fast. Initially it was very difficult for me, way too smooth.

The only thing i am missing is the Camera, it's like 1/10th of a pixel camera. Anyway i bought it for performance and i am more than satisfied.
Battery life could be better, but since i bought 10 days back and already received 2 updates, it marginally improved battery. Hope to see more optimiza...
READ MORE",5,Super!,MOBGWMGBEVDXXEZC
Amazing performance good camera super phone pocco is always best,5,Wonderful,MOBGWMGBEVDXXEZC
"Poco x6 pro is totally Value for money device
Performance 10/10
Camera 9/10
Display 10/10
Battery 9/10
Design 9/10",5,Awesome,MOBGWMGBEVDXXEZC
Performance is great but Battery drain issue.,4,Good quality product,MOBGWMGBEVDXXEZC
Very nice 👍 mobile,5,Just wow!,MOBGWMGBEVDXXEZC
"If you're a camera lover then leave it otherwise one of the best deals in this range. I have been using a poco phone for the first time and it's smooth with lightweight os, performance, display and the speakers are really best.

Also about the battery, yes on moderate usage some times need to be charged 2 times but charging speed is very fast. Disappointed with only the camera but if they fixed it with an update then it's really hard to beat this smartphone under this range.

I got it for 23...
READ MORE",5,Worth every penny,MOBGWMGBEVDXXEZC
"Loving it from day one.
I had been a user of Sony(X Peria C3) ,
Nokia (Lumia520) , Samsung (Champ Duos) though a long long time back, redmi (note 7 pro) and realme 10 pro plus. After degrading from X Peria to Redmi note 7 pro I used to feel that I have made a mistake but my budget was tight so I was left with a very few options So after using it for 4 years I shifted to realme (again due to budget issues) but It too felt me a mistake. Let's talk talk about this Poco X6 pro OMG I'm really am...
READ MORE",5,Super!,MOBGWMGBEVDXXEZC
"I LOVE THE PHONE!
The phone has a powerful processor and an amazing display. Best Gaming phone. The bezels are all slim and the punchole is small, immersive display The camera side is a little weak but I am not a camera person. So no problem for Me",5,"Mind-blowing purchase, Best Gaming Phone under 25k",MOBGWMGBEVDXXEZC
Amazing,5,Best in the market!,MOBGWMGBEVDXXEZC
"I love all the things in this device but battery🔋 is drain little bit faster and it only heat at 5g network and playing heavy games.

But i love this device it's performance in bgmi is super smooth.

If you want a hard performance mobile go for it.

I think battery drain issue, heating issue can be fixed through updates.

I will recommend this mobile to all of you who is reading this review.

I love ❤you 😘all🥲😅",4,Good quality product,MOBGWMGBEVDXXEZC
"I have been using this phone for 4-5 days.According to me
Back camera: 3.8/5
Selfie: 4.5/5
Battery:3.5/5 battery drains fast when it is in 5g mode.
Display: 4.8/5
Sound: 4.7/5
Performance: 4.3/5.I get a little warm when playing heavy games in 5g is on.
Let POCO look into the back camera and battery issues.No issues with charging speed but battery drains fast",4,Pretty good,MOBGWMGBEVDXXEZC
"One of the best phone under 25000
There is no competition at this price, I liked this ghost. Value for money🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩",5,Mind-blowing purchase,MOBGWMGBEVDXXEZC
Good one from poco,3,Decent product,MOBGWMGBEVDXXEZC
Best All rounder at this price range. Dimensity 8300 ultra is equal to 8 gen 2. Under 25k best option. Don't think go for it if you want to experience fast and long run device..,5,Great product,MOBGWMGBEVDXXEZC
"Over all good and decent phone











👍",5,Super!,MOBGWMGBEVDXXEZC
"Review after 10 days of usage.

Coming from Redmi K20 pro , I was expecting a huge jump in performance, camera and display.
But I would say , this is a pretty mediocre smartphone.

Performance wise ,Yes . Meets your expectations. Apps open and function very quickly.


Cameras are surprisingly good. Main 64 MP camera is good. 8 MP ultra wide and 2 MP macros performance felt meh!

Display is good. Especially the Bezels are very small and gives a very premium feel.

Battery performance is averag...
READ MORE",3,Good,MOBGWMGBEVDXXEZC
"I am posting this review after using this phone for 1 month this phone has a lot of pros but some cons too-
Pros
1) processor
1.4million antutu score which is a lot and you can do gaming on it on 90fps easily which is good for a phone and I have have played heavy games on it for eg call of duty warzone and genshin impact and I didn't found any major lags
2) The Display
It's 1.5 k amoled display which is good not going to lie but the tag 1.5k resolution screen was not necessary because ther...
READ MORE",4,Nice product,MOBGWMGBEVDXXEZC
Good 😊,4,Nice product,MOBGWMGBEVDXXEZC
"I took this phone in Flipkart on first day of sale.
Pros-
Performance -10/10
display - 9.5/10
Battery -8.0/10
Build quality -9/10
Disign -8.5/10
Cons-
camera 07/10 average",4,Nice product,MOBGWMGBEVDXXEZC
"𝙉𝙚𝙜𝙖𝙩𝙞𝙫𝙚𝙨
This is not a camera centric phone... For camera go for other device... 🙂Camera won't satisfy you. But the performance and display will 😁
Daylight photos are 4/5 but in low light 1/5 can't capture good or detailed photos, it takes blurry photos 🥲
𝙋𝙤𝙨𝙞𝙩𝙞𝙫𝙚𝙨
Video quality is 5/5 good 😊
No doubt in performance 😍⚡Soo smooth performance😍 in love with it ❤",5,Fabulous!,MOBGWMGBEVDXXEZC
"Flagship Killer
The handset is Ultra Fast
Camera and The shutter Speed is pretty Good n Fast
Initially the battery drained fast , but after an update battery backup is quite good",5,Mind-blowing purchase,MOBGWMGBEVDXXEZC
"Fantastic phone, awesome performance and photo quality.",5,Super!,MOBGWMGBEVDXXEZC
This mobile is good for playing games and watching videos,5,Wonderful,MOBGWMGBEVDXXEZC
Display is very good. Battery backup average. Camera descent. Performance excellent,5,Awesome,MOBGWMGBEVDXXEZC
in this budget excellent phone😍,5,Terrific purchase,MOBGWMGBEVDXXEZC
"It's performance centric phone (bgmi smooth 90fps is superr nice loved it)weight adjustment is nice, camera is also fine for me as I don't have much camera use, battery is ok not excellent if you need it for gaming go for it .
Performance 5/5
Display 4/5
Battery 4/5
Camera 4/5
Design 5/5 (yellow one)
Data transfer is super fast and storage capacity justifies the price

Overall 4/5

Edit After 6 months--
Very poor
Dust entered in the primary camera lense
Battery drain is too high,,have to ch...
READ MORE",2,Bad quality,MOBGWMGBEVDXXEZC
Battery is not up to the mark at this price range display could be much better,3,Just okay,MOBGWMGBEVDXXEZC
"In 7 days of usage I can say(for me)
I didn't face any heating issue after 3 days of usage (without any system update) charge was discharging quickly(100 to 0 in 5hrs in normal usage). Antutu and other benchmark was also giving hight score. Performance was a beast 💪. But ui was a little bit laggy.

But after system update I felt reduced in performance.
It's getting hot after gaming and also reduce score in antutu, 3d mark. But ui is okey now I guess.",3,Good,MOBGWMGBEVDXXEZC
"I played BGMI and it's smooth the 90fps is cherry on the cake... Gameplay is far better than normal 60fps.
Camera a bit of let down but can be improved through updates. And battery drains... Have to charge minimum two times in a day if you're a heavy gamer.
Haptic feed back is good.
This is a performance focused phone so if you're camera person then this one is not for you. But if you're a gamer then hop unto this beast. You won't regret it at all.",5,Mind-blowing purchase,MOBGWMGBEVDXXEZC
"I have been using the phone past 3 days, I can tell you, it's a very good phone. Just that you need to disable all the unwanted apps and settings, you get a clean experience.I am able to get full day of battery life with moderate usage and around 20-30% still left. Camera performs great in good lighting conditions but struggles in night or indoor conditions with poor lighting. Performance is great, phone feels really smooth while navigating. Overall a great phone. Go for it if you are not cam...
READ MORE",5,Terrific,MOBGWMGBEVDXXEZC
"Using since yesterday and already phone got crashed.
Screen quality is good.
Many features are not present due to hyperOS for customization.
Good thing is that you got the xiaomi dialer. Bugs are still there",3,Does the job,MOBGWMGBEVDXXEZC
"If you are a camera enthusiast don't purchase. If you need a snappy performance phone with decent battery backup, good display and speakers to enhance your multimedia experience please go for it. Needs to debloat before you start using it. No complaints, so far so good. Need to check how it flares on a longer run.",4,Delightful,MOBGWMGBEVDXXEZC
"It's best budget phone in the segment👍🏻I like it
But I am facing some heating issue which can be resolve soon..!!! Allover camera is so good. Display is 5/5 battery is also 4/5 it support 90fps in PUBG with extreme+ setting.",4,Decent product,MOBGWMGBEVDXXEZC
Camera and battery 👎,4,Good choice,MOBGWMGBEVDXXEZC
"Camera- day time(3.5/5), night time(3/5)
Performance- 5/5
Battery life- 4/5
UI- 4/5
Charging- 5/5
Working without any issues.
The camera is average.",4,Value-for-money,MOBGWMGBEVDXXEZC
"Hello everyone
This is my review after using this beast
Yes this is really a beast performer it can handle all the multitasking very smoothly
A good looking phone and hands friendly
It's light weight and a featurfull device fast charging makes it a more loving device.
But I must tell you that it's not a fullday single charge phone you should carry the charger if you really want to enjoy its performance and one more thing which is really disappointing don't use it as a primary camera phone...
READ MORE",4,Value-for-money,MOBGWMGBEVDXXEZC
